il_adı,plaka_kodu,yuzolcumu_km2,enlem,boylam,ortalama_kira_2024,ortalama_kira_2023,ortalama_kira_2022,nufus_2024,nufus_ 2023,nufus_2022,issizlik_oranı_2024,issizlik_oranı_2023,issizlik_oranı_2022,hava_kalitesi_pm25_2024,arac_sayısı_2024,arac_sayısı_2023,arac_sayısı_2022,nufus_yogunlugu,arac_yogunlugu,kira_artis_orani,kisi_basi_arac,il_grubu
Adana,1,13844,36.9914,35.3308,19723,15005,8154,2280484,2270298,2274106,11.4,14.0,15.3,13.4,830472,783045,773898,164.72724646056054,59.987864778965616,0.31442852382539155,0.3641648001038376,0
Adıyaman,2,7337,37.7648,38.2786,6194,11905,15494,611037,604978,635169,11.1,12.2,17.2,12.5,138056,155540,118158,83.28158647948753,18.816409976829767,-0.4797144057118858,0.22593721820446225,0
Afyonkarahisar,3,14016,38.7507,30.5567,20763,13575,6485,750193,751344,747555,5.9,8.0,7.3,13.1,270970,257319,242394,53.52404394977169,19.332905251141554,0.5295027624309392,0.36120038443440555,1
Ağrı,4,11099,39.7191,43.0503,13342,9098,3710,499801,511238,510626,13.1,14.6,16.1,4.5,32300,31075,30677,45.031173979637806,2.9101720875754573,0.4664761486040888,0.06462572103697271,0
Amasya,5,5628,40.6499,35.8353,20127,15874,6225,342378,339529,338267,6.9,8.9,7.3,12.9,143416,137514,131674,60.83475479744136,25.48258706467662,0.2679223888118937,0.41888205433760345,1
Ankara,6,25632,39.9334,32.8597,22185,15281,7048,5864049,5803482,5782285,9.7,11.2,12.1,30.8,2613515,2498290,2387460,228.77844101123594,101.96297596754057,0.4518028924808586,0.4456843726919744,2
Antalya,7,20177,36.8841,30.7056,35348,27056,13653,2722103,2696249,2688004,5.9,7.4,9.7,12.5,1466017,1399627,1317564,134.9111860038658,72.65782822025078,0.3064754583086931,0.5385604438920937,1
Artvin,8,7393,41.1828,41.8183,20326,13562,6652,169280,172356,169403,8.4,10.3,10.1,6.7,45536,44360,43089,22.89733531719194,6.1593399161368865,0.49874649756673056,0.26899810964083176,1
Aydın,9,8116,37.8444,27.8458,37412,25996,13965,1165943,1161702,1148241,10.1,10.1,10.3,18.0,580250,553796,525427,143.65980778708723,71.49457861015279,0.4391444837667333,0.4976658378668597,0
Balıkesir,10,14583,39.6484,27.8826,30836,21336,10776,1276096,1273519,1257590,5.8,5.8,7.6,45.0,594475,568042,542592,87.50572584516217,40.76493176986902,0.4452568428946382,0.46585444982195695,2
Bilecik,11,4177,40.1419,29.9793,18638,12078,5557,228495,228058,228673,7.9,7.2,9.4,17.6,81663,78257,75295,54.70313622216902,19.55063442662198,0.5431362808411989,0.35739512899625814,1
Bingöl,12,8004,38.8847,40.4939,14026,8860,4806,283276,285655,282556,6.8,7.9,10.1,6.1,20485,78257,18397,35.391804097951024,2.559345327336332,0.5830699774266366,0.07231463307869357,1
Bitlis,13,8294,38.4006,42.1095,15721,9140,4534,359808,359747,353988,11.4,11.7,13.0,8.7,25441,23829,23141,43.381721726549316,3.0673981191222572,0.7200218818380744,0.07070715492707222,0
Bolu,14,8313,40.731,31.608,22530,14789,7047,326409,324789,320824,6.6,8.5,10.2,14.2,135508,130046,125559,39.26488632262721,16.300733790448696,0.5234295760362432,0.41514786663357933,1
Burdur,15,7175,37.7203,30.2908,24237,15353,7136,275826,277452,273799,4.0,5.1,6.0,11.0,162397,154986,148008,38.442648083623695,22.633728222996517,0.5786491239497167,0.5887661061683815,1
Bursa,16,10813,40.1826,29.066,23079,17046,8595,3238618,3214571,3147818,9.2,8.3,8.9,11.8,1159117,1105810,1051526,299.5115139184315,107.19661518542495,0.35392467441041886,0.3579048223655893,0
Çanakkale,17,9817,40.1553,26.4142,31348,21851,11383,568966,570499,559383,6.6,6.6,6.0,6.4,284496,271828,259612,57.95721707242539,28.97993276968524,0.43462541760102513,0.5000228484654619,1
Çankırı,18,7542,40.6013,33.6134,19542,12565,6266,199981,205501,195766,4.5,5.2,7.8,6.0,63977,60554,57857,26.51564571731636,8.48276319278706,0.5552725825706327,0.3199153919622364,1
Çorum,19,12428,40.5506,34.9556,17322,11487,5432,521335,528351,524130,6.1,8.1,9.7,12.2,199438,192408,186208,41.94842291599614,16.047473447055037,0.5079655262470619,0.3825524854460184,1
Denizli,20,12134,37.7765,29.0864,24761,16553,7846,1061371,1059082,1056332,6.6,8.1,7.1,10.6,506642,484829,464481,87.47082577880336,41.75391462007582,0.49586177732133147,0.47734675245507935,1
Diyarbakır,21,15168,37.9144,40.211,17516,12217,6820,1833684,1804880,1818133,10.5,11.9,13.5,10.4,154716,142246,134265,120.89161392405063,10.200158227848101,0.4337398706720144,0.08437440693161963,0
